name,switch_motor,set,doubles,doubles2,blackboard,i2c
sc,1,0,26,45,0,0
sc,0,1,31,50,0,0
sc,0,1,31,50,0,0
sc,0,0,28,48,0,0
sc,0,0,32,46,0,0
sc,0,0,25,46,0,0
sc,0,1,25,50,0,0
sc,0,0,29,49,0,0
sc,0,0,30,49,0,0
sc,0,0,26,46,0,0
sc,0,0,28,46,0,0
sc,0,0,27,45,0,0
sc,0,0,34,52,0,0
sc,0,0,36,53,0,0
sc,0,0,34,54,0,0
sc,1,0,29,56,0,0
sc,0,0,35,47,0,0
sc,0,0,28,49,0,0
sc,0,0,29,46,0,0
sc,0,0,39,63,0,0
sc,0,0,30,50,0,0
sc,0,0,26,46,0,0
sc,0,0,29,51,0,0
sc,0,1,32,48,0,0
sc,0,0,29,51,0,0
sc,0,0,30,47,0,0
sc,0,0,26,47,0,0
sc,1,0,31,45,0,0
sc,0,0,32,87,0,0
sc,1,1,36,57,0,0
sc,1,1,32,47,0,0
sc,0,1,26,50,0,0
sc,0,0,25,44,0,0
sc,0,0,26,47,0,0
sc,0,0,31,51,0,0
sc,0,1,37,60,0,0
sc,0,1,37,53,0,0
sc,0,0,27,51,0,0
sc,0,0,29,60,0,0
sc,1,0,31,47,0,0
sc,0,1,28,48,1,0
sc,0,0,31,47,0,0
sc,0,0,29,53,0,0
sc,0,1,29,57,0,0
sc,0,0,28,47,0,0
sc,0,0,26,49,0,0
sc,0,0,37,50,0,0
sc,0,1,31,44,0,0
sc,0,0,25,44,0,0
sc,1,1,28,47,0,0
sc,0,1,28,45,0,0
sc,0,0,28,49,0,0
sc,0,0,26,49,0,0
sc,0,0,27,48,0,0
sc,0,0,26,44,0,0
sc,0,0,24,45,0,0
sc,0,1,26,46,0,0
sc,0,1,34,57,0,0
sc,0,1,29,51,0,0
sc,0,0,28,47,0,0
sc,0,0,28,46,0,0
sc,0,0,27,61,0,0
sc,0,0,30,50,0,0
sc,0,0,32,49,1,0
sc,0,0,28,47,0,0
sc,0,0,27,43,0,0
sc,0,0,34,50,0,0
sc,0,1,38,51,0,0
sc,0,0,33,51,0,0
sc,0,1,31,47,0,0
sc,1,0,26,46,0,0
sc,0,0,23,45,0,0
sc,0,0,23,47,1,0
sc,0,0,31,48,0,0
sc,0,0,32,53,0,0
sc,0,1,33,49,0,0
sc,0,0,29,45,0,0
sc,0,0,31,46,0,0
sc,0,1,25,49,0,0
sc,0,1,27,53,1,0
sc,1,0,34,50,0,0
sc,0,1,32,54,0,0
sc,1,0,28,45,0,0
sc,0,1,34,46,0,0
sc,0,0,27,47,0,0
sc,1,0,33,75,0,0
sc,0,1,30,50,0,0
sc,0,1,27,45,0,0
sc,0,1,26,47,0,0
sc,0,0,24,46,0,0
sc,0,0,28,50,0,0
sc,0,0,30,51,1,0
sc,0,1,41,58,0,0
sc,0,0,29,49,0,0
sc,0,0,33,51,0,0
sc,0,0,26,46,0,0
sc,0,0,28,47,1,0
sc,0,1,32,50,0,0
sc,1,1,35,53,0,0
